step,phi_max,twist_energy_max,soliton_energy,twist_energy,gravity_energy,discarded_energy,alpha_pwari,emitted_energy_cumulative,Lz
3900,0.30826,6.53408e-03,1.22286e+02,4.29278e-01,1.90638e+00,5.99802e-03,0.00351044,6.21107e+01,4.32324e-06
4000,0.36837,9.55958e-03,9.89937e+01,8.12798e-01,2.58999e+00,1.15417e-02,0.00821060,6.36107e+01,1.39751e-05
4100,0.24817,4.29138e-03,9.18748e+01,8.93802e-01,2.36920e+00,1.26893e-02,0.00972848,6.51032e+01,1.74993e-05
4200,0.32804,7.36279e-03,1.20930e+02,7.51899e-01,2.71030e+00,1.57658e-02,0.00621764,6.65960e+01,1.38422e-05
4300,0.32495,7.31660e-03,1.06453e+02,7.09934e-01,3.28007e+00,1.46488e-02,0.00666897,6.80866e+01,-3.09368e-06
4400,0.17434,2.07356e-03,8.35591e+01,5.16969e-01,2.36718e+00,1.37877e-02,0.00618687,6.95726e+01,2.70842e-05
4500,0.18566,2.36784e-03,9.40067e+01,3.49468e-01,1.80569e+00,1.36259e-02,0.00371748,7.10545e+01,1.47085e-05
4600,0.17135,2.03189e-03,1.05082e+02,3.29522e-01,1.49701e+00,1.38787e-02,0.00313586,7.25336e+01,1.28362e-06
4700,0.30051,6.20656e-03,8.90046e+01,7.19098e-01,1.40939e+00,1.46547e-02,0.00807934,7.40071e+01,1.20169e-05
4800,0.29647,6.09236e-03,1.05118e+02,9.99791e-01,1.73682e+00,2.20411e-02,0.00951115,7.54770e+01,1.46664e-05
4900,0.37164,9.58061e-03,1.09104e+02,8.76639e-01,1.91177e+00,2.07353e-02,0.00803492,7.69448e+01,-7.76366e-06
5000,0.10554,7.64996e-04,1.01090e+02,4.87703e-01,1.63125e+00,1.31107e-02,0.00482446,7.84084e+01,-8.96066e-07
5100,0.32426,7.17660e-03,8.91560e+01,4.55718e-01,1.66384e+00,2.06365e-02,0.00511147,7.98674e+01,1.21847e-05
5200,0.29947,6.22123e-03,1.00245e+02,3.88101e-01,2.02273e+00,1.44068e-02,0.00387152,8.13232e+01,5.18166e-06
5300,0.11558,9.33115e-04,8.94480e+01,4.22375e-01,1.77081e+00,1.62368e-02,0.00472201,8.27750e+01,7.35004e-06
5400,0.25719,4.57104e-03,9.15935e+01,6.14326e-01,1.92687e+00,2.69847e-02,0.00670709,8.42226e+01,2.23080e-05
5500,0.21727,3.25078e-03,8.81473e+01,9.14813e-01,1.61806e+00,3.12762e-02,0.01037824,8.56682e+01,9.89898e-06
5600,0.35096,8.58133e-03,9.99924e+01,8.37677e-01,1.47185e+00,1.47070e-02,0.00837741,8.71097e+01,1.40018e-07
5700,0.30508,6.41215e-03,8.76718e+01,6.21978e-01,1.53196e+00,2.43942e-02,0.00709440,8.85476e+01,-4.17568e-06
5800,0.26191,4.78219e-03,8.76047e+01,3.12209e-01,1.53516e+00,1.98681e-02,0.00356383,8.99814e+01,6.45481e-06
5900,0.15916,1.73444e-03,8.19797e+01,3.52878e-01,1.43347e+00,1.57193e-02,0.00430446,9.14123e+01,2.72087e-06
6000,0.38917,1.05293e-02,8.83188e+01,4.98298e-01,1.84589e+00,1.95694e-02,0.00564204,9.28382e+01,5.14711e-07
6100,0.31061,6.66772e-03,8.22919e+01,7.12133e-01,1.88778e+00,1.86474e-02,0.00865375,9.42599e+01,-8.62389e-07
6200,0.18006,2.20986e-03,9.75425e+01,7.37272e-01,1.86574e+00,2.87606e-02,0.00755847,9.56784e+01,7.16464e-06
6300,0.37066,9.64448e-03,9.52847e+01,7.30526e-01,2.22859e+00,4.07007e-02,0.00766677,9.70946e+01,-2.73573e-06
6400,0.26583,4.89153e-03,9.54639e+01,4.87068e-01,1.76730e+00,2.38662e-02,0.00510212,9.85068e+01,1.25824e-06
6500,0.17084,2.00848e-03,8.12590e+01,3.80818e-01,1.27766e+00,2.74667e-02,0.00468647,9.99144e+01,5.02544e-06
6600,0.19086,2.51206e-03,8.90441e+01,2.84381e-01,1.14550e+00,1.92155e-02,0.00319371,1.01319e+02,-1.65757e-06
6700,0.16684,1.92819e-03,7.91676e+01,4.62193e-01,1.19457e+00,2.26441e-02,0.00583815,1.02719e+02,-3.00983e-06
6800,0.27027,5.05449e-03,8.19339e+01,7.19586e-01,1.30571e+00,2.35739e-02,0.00878252,1.04115e+02,2.28356e-06
6900,0.38114,9.99997e-03,8.34832e+01,8.43720e-01,1.86047e+00,3.57440e-02,0.01010647,1.05508e+02,-2.70344e-06
7000,0.28883,5.80921e-03,8.23764e+01,5.96983e-01,1.95594e+00,2.73331e-02,0.00724702,1.06896e+02,3.12079e-07
7100,0.26465,4.79255e-03,7.86256e+01,4.57150e-01,1.80371e+00,2.53896e-02,0.00581427,1.08281e+02,-4.49729e-08
7200,0.19294,2.55578e-03,9.01731e+01,3.22701e-01,1.70438e+00,2.93060e-02,0.00357868,1.09664e+02,-8.92148e-07
7300,0.22290,3.44927e-03,7.52839e+01,3.43046e-01,1.27226e+00,2.48979e-02,0.00455669,1.11041e+02,-3.96211e-07
7400,0.32501,7.27517e-03,7.66788e+01,4.35636e-01,1.22193e+00,3.85722e-02,0.00568131,1.12415e+02,-3.43530e-06
7500,0.22091,3.35670e-03,7.98567e+01,6.72053e-01,1.14086e+00,4.94141e-02,0.00841573,1.13786e+02,2.54103e-06
7600,0.24728,4.21810e-03,8.37043e+01,7.43920e-01,1.10734e+00,2.99459e-02,0.00888748,1.15153e+02,6.90311e-08
7700,0.24947,4.29236e-03,6.69132e+01,6.91726e-01,1.10675e+00,4.42343e-02,0.01033765,1.16515e+02,-1.05177e-06
7800,0.28961,5.81443e-03,7.39169e+01,4.24158e-01,1.20984e+00,2.46910e-02,0.00573831,1.17875e+02,-6.02157e-07
7900,0.29002,5.79186e-03,7.68756e+01,2.93381e-01,1.41878e+00,2.91363e-02,0.00381630,1.19231e+02,1.02154e-07
8000,0.27108,5.09515e-03,6.42420e+01,3.66777e-01,1.45481e+00,3.54726e-02,0.00570931,1.20582e+02,2.06231e-06
8100,0.27030,5.07355e-03,6.58929e+01,4.95353e-01,1.63891e+00,3.44046e-02,0.00751755,1.21930e+02,2.78183e-06
8200,0.19251,2.57511e-03,8.76155e+01,5.60580e-01,1.34248e+00,3.79287e-02,0.00639819,1.23273e+02,2.06843e-06
