E_gravity,E_shell_1,E_shell_2,E_shell_3,E_soliton,E_twist,alpha_pwari,step
9.311253271021096,0.8707303413971053,,,241.16349493845712,1.6859590111502918,0.006990937876317202,0
21.254117262892528,0.02034533981551965,0.44510078465791403,,235.21084815627933,0.6695056865331428,0.0028464064977492378,100
9.227009878153707,0.01661442002692679,0.13565545364261947,0.2667074712760734,149.40143758179963,0.5044129164952695,0.0033762253205836495,200
5.385754243202684,0.019523954592268654,0.18705864908506448,,164.7925737014341,0.2686219353889871,0.001630060926626874,300
2.7403072461507363,0.08124791757601853,0.6231049816341161,,162.11179312267873,0.8916899403859161,0.005500463126153482,400
1.8634928066541472,0.019974499645810693,0.10464330823621437,,171.43411162052163,0.18193235792265672,0.0010612377910259394,500
2.0368879376032774,0.0020080645171584206,0.6595558391394994,,155.39445810826837,1.076571110510497,0.00692798909057886,600
2.129565914218949,0.0535222600448997,0.7180333546897313,,179.74777610901182,1.1872071630751788,0.006604850356285755,700
2.7432304742810247,0.39249974383526587,,,189.14424477306133,1.2658258795778488,0.0066923837999755655,800
5.373808388174923,0.0349283264994963,,,177.23601259789945,0.09011040731811112,0.000508420416354927,900
5.725157739653396,0.3428625428076254,,,114.20373138739417,0.4803688213127147,0.004206244537520758,1000
0.5947659777590434,0.049453916933877844,,,61.56968384185799,0.16707921130072856,0.0027136603743146102,10000
0.5418302947102706,0.01158141340579617,,,61.70063518588251,0.15727604192596498,0.002549018198145725,10100
0.583698139631407,0.07798591908977862,,,64.12547980941596,0.2277957822358345,0.0035523442929839217,10200
0.5776074154650356,0.057934057704570545,,,65.36305002937004,0.29753330517157767,0.004552010731413006,10300
0.5661771801051863,0.05094878797093925,,,65.4244241688764,0.28961275982523527,0.00442667648212958,10400
0.4618142770435926,0.06558987305478922,,,63.17316492574402,0.23330028683586546,0.0036930283152679607,10500
0.3667165273055096,0.0233383050402538,0.10110016846277385,,61.398562659249166,0.20128091177102905,0.003278267487923153,10600
0.338974526773567,0.05382474199610892,,,61.49595230713454,0.15285044136841283,0.0024855366188171004,10700
0.3225866116821802,0.07278941278222131,,,60.85006779215785,0.1569245139246611,0.0025788716367689075,10800
0.3390798662265423,0.045528995796973795,,,61.53086555540564,0.2247362424636199,0.0036524147748458946,10900
11.918063055752953,0.1313598692874407,,,134.93536336723315,0.32838116604280343,0.0024336182735810933,1100
0.3793233537163445,0.07554581362401394,,,63.890630595259154,0.28490031333112414,0.004459187688034253,11000
0.4090953738309677,0.05982122394008263,,,65.60448641612376,0.2745680209779153,0.004185201896656172,11100
0.4190252674976608,0.038381529674207805,,,61.41734115895094,0.2506100261647685,0.004080444080380785,11200
0.46446365322715616,0.05094857823743808,,,58.554273339174834,0.17675663009778383,0.0030186802775934636,11300
0.5645027397643453,0.06128461579389746,,,59.042176426987396,0.14217340075578846,0.0024079972887111065,11400
0.4842666574345176,0.04194676959836246,,,59.76376878360158,0.18103397732964782,0.003029159322015871,11500
0.4255003942975571,0.03400766961645772,0.09239139913958283,,60.431646657691196,0.24379788046401654,0.004034274985836219,11600
0.37460861335153645,0.04965829629259538,,,61.00288837640154,0.23888929476166648,0.003916032521077786,11700
0.3486675428893401,0.03204564609987592,0.09694111853965194,,61.52281311332663,0.2679373809670708,0.004355089883057252,11800
0.3402333004530636,0.09024828552604859,,,61.43793438818598,0.25750644612818335,0.004191326558949218,11900
4.624612956674722,0.32564124757813584,0.08663292596064046,,133.9030563295771,0.5083184706351713,0.003796167799068315,1200
0.3507156940310433,0.02745670445326472,0.04809752870385761,,58.87869785770291,0.1759023482750978,0.0029875380175732784,12000
0.3465925716392793,0.02138313867739905,,,56.308518834764804,0.1311034345240347,0.002328305507533464,12100
0.37018818163201733,0.06009321196039104,,,56.74630840875945,0.19268599817400167,0.0033955688674236007,12200
0.4584666954712284,0.05037264772703541,,,60.607192313392154,0.23197555266173991,0.0038275251468872467,12300
0.47943488004359314,0.05336275463938281,,,60.25465224402665,0.24475352270788478,0.004061985483156588,12400
0.5270421552846677,0.07175127991722052,,,57.7383768873525,0.24605413466765802,0.004261535358843033,12500
0.5529181908656637,0.06680114807815368,,,57.191256619144205,0.21913908012940717,0.0038316884972248106,12600
0.4367919332808648,0.08620584463110852,,,57.2970611716815,0.16970092554366703,0.002961773642023023,12700
0.38271682838579413,0.06173452997554579,0.05596930894138156,,55.88351641958046,0.16583293277937478,0.002967474908598813,12800
0.3570779114465174,0.018327311628614347,,,54.69872930825279,0.159296057373895,0.002912244203630172,12900
2.03285692536347,0.04073796965612893,0.30770906791235975,,125.59136521401852,0.4774930877007754,0.0038019579362568914,1300
0.3645424578504334,0.03914255015817294,,,57.199536101017316,0.2012017259498201,0.003517541219119112,13000
0.41329626221405646,0.08459033541136722,,,59.41118371280919,0.26119327331393144,0.004396365414574589,13100
0.4265241648943635,0.05558359272353775,,,58.38463778577549,0.24841414064760592,0.0042547860202384975,13200
0.45994507470723794,0.04518023369668252,,,54.42586370039999,0.1787436197074774,0.003284166893361837,13300
0.37159004574856724,0.04158405596576298,,,53.05806530598189,0.16535504021318517,0.0031164920782466347,13400
0.34913100824197646,0.053341577880929705,,,55.501896930380035,0.1735613010237415,0.0031271237673453174,13500
0.31878160649084014,0.027612725775189792,,,54.945083118331944,0.17745105759682817,0.0032296075922692196,13600
0.29205967478783434,0.06056572797100281,,,54.24567577829825,0.2066853243834796,0.003810171436119651,13700
0.3274731496345668,0.037556760734151276,,,55.45006181113861,0.23577799209429562,0.004252078075175985,13800
