step,n1,n2,n3
0,1.087753021900561,0.7736420623297302,0.08822203704982624
100,0.005842100347675925,0.14506259595674376,0.4483068067091647
200,0.01909485062212139,0.14289136956993861,0.01789056359634633
300,0.024990197314367874,0.02297590197203199,0.11939100770401007
400,0.03547177686038093,0.10047226226029457,0.02168419128052485
500,0.020485800248829452,0.031224715536808667,0.006379144045630723
600,0.003076620688780259,0.010740128113694816,0.1803777983899612
700,0.02782761108255413,0.37091093576371414,0.7342219147071172
800,0.38962153835894897,0.847089364334314,0.07442202336949999
900,0.05085345547228462,0.011325961727020484,0.0036460783224898565
1000,0.24890196644359172,0.21995358139477075,0.0185666998019154
10000,0.02160892797710702,0.04686775398488193,0.04718058876146958
10100,0.021916103999602046,0.061344458904131705,0.04652990434721001
10200,0.08251861687529058,0.05845546052232145,0.07180113935985581
10300,0.03772566753355931,0.13703666078143667,0.0841878170928733
10400,0.05991790791611999,0.09103078516845575,0.0835095025283976
10500,0.05012984046150185,0.10146504779443988,0.06426621628734315
10600,0.030632619096211466,0.0947402947915767,0.08509604715759456
10700,0.03691911735154101,0.04211255985284597,0.04221758242791836
10800,0.007294190898509717,0.07042926011482381,0.030816440349872794
10900,0.043173231833348376,0.05144566681850388,0.08545977960419611
1100,0.12201116918783596,0.10025396213780122,0.07862706026783312
11000,0.030613062106950632,0.125680808821928,0.07433848483134774
11100,0.06992301648088436,0.0976338268346271,0.09988910193374667
11200,0.02929877313016702,0.105015514420333,0.08743739060838315
11300,0.04872200325538987,0.051939960066565,0.06592301259629968
11400,0.0629235166422452,0.06255086798135817,0.0306000536389162
11500,0.020018844506086056,0.08533281845700749,0.05195399878262683
11600,0.03408873192602967,0.07174110319763166,0.07064327494178414
11700,0.026671045528715503,0.09453279076432847,0.07650523140351108
11800,0.03270356022805508,0.1215083451696231,0.11355057376822666
11900,0.06637410381544581,0.07643374820104847,0.052117412521032844
1200,0.02020978082982793,0.25926731991151036,0.15262996733632958
12000,0.018822573663606252,0.08639028965264195,0.06873287801635666
12100,0.028981846366326613,0.04290210459810838,0.04308634153572044
12200,0.03130032273289221,0.05788905811283368,0.06135267098571136
12300,0.05529021544893916,0.11973834872197922,0.06258851671946057
12400,0.024817554700909124,0.10726359804489488,0.07098741285396588
12500,0.04953850813505864,0.06268428480494895,0.06601617176138608
12600,0.07509319035663167,0.0997942629605077,0.07239067184624409
12700,0.009465957699746867,0.10123751749410376,0.06904524022190368
12800,0.05280359550545003,0.02434491442059128,0.044820152343855425
12900,0.010684346513871323,0.09574729977526873,0.04287899894365917
1300,0.020650314817458118,0.03704321518355193,0.16733524783940584
13000,0.035074388624226654,0.04378666569510424,0.06080246425237029
13100,0.04565495685888045,0.12119773034682124,0.07008927037111212
13200,0.04123482635833879,0.10728137729276793,0.08978079253680663
13300,0.02425742086166537,0.05379395060617259,0.06671811948758341
13400,0.031285079465383246,0.09247355640056441,0.05046500671419229
13500,0.05535946965220341,0.06342598917848324,0.05294448763289962
13600,0.01681277104911501,0.09060870731363065,0.050357873484242005
13700,0.03574585154668563,0.051288339262729285,0.0641763019767146
13800,0.04516296417118715,0.09491471735110246,0.07312469899557189
13900,0.03143149684243854,0.11382368856091334,0.07901852527402882
1400,0.039065014947324374,0.07975321042542129,0.0643578946268272
14000,0.05701286244533429,0.06901448613209907,0.05402317772080732
14100,0.01886291067542978,0.07915614061365805,0.06606922760348982
14200,0.03756830294493959,0.026159849854821088,0.05162593307464655
14300,0.023892462032812818,0.11677329678898862,0.03466243690268156
14400,0.04366869994193324,0.07165977741914309,0.07016067422520063
14500,0.010657313776660432,0.08328330845758233,0.060336276906701236
14600,0.048954728000181864,0.0790679830677414,0.07658694251524788
14700,0.04869448656246535,0.09806863911301036,0.05690633958730506
14800,0.025825059148026134,0.08334059334947688,0.07584814780121488
14900,0.02855632811386217,0.044857017893115886,0.0316536549772921
1500,0.022215302865116148,0.1930123036391877,0.28120365885068455
15000,0.02033942863346393,0.05677441702178199,0.04756460948423383
15100,0.042556142750295234,0.08786321114589107,0.0755444154319119
15200,0.036385645217873436,0.11541820797343216,0.04020841654343969
15300,0.026370459288647796,0.060123383362838685,0.09681834093150044
15400,0.026148463476132283,0.06242786293851333,0.04971817560145278
15500,0.049762676176471635,0.08980248873580163,0.047694503880856234
15600,0.026326092921202072,0.08175446480057284,0.03689641749243011
15700,0.021120482696286302,0.06284284961714696,0.08190629115534204
15800,0.019403461325329465,0.06412792014654241,0.028792708356273615
15900,0.04692375430256176,0.08314922636811989,0.08639261060881152
1600,0.11829303250228447,0.22531232415289199,0.042293569843261235
16000,0.023845109088733867,0.13286168352724434,0.0678016880259219
16100,0.055885667159247414,0.050209428339363316,0.039217538037211064
16200,0.015769494924915972,0.06962598775688325,0.06967111916374699
