height_1,height_2,height_3,n_peaks,r_peak_1,r_peak_2,r_peak_3,step,twist_total
0.003008,,,1,0.4,,,9000,0.6743212485623672
0.003778,,,1,0.2,,,9100,0.5538899270441421
0.001562,0.000155,,2,0.2,1.2,,9200,0.38298738723671893
0.002758,,,1,0.4,,,9300,0.33000197018519906
0.000506,0.000505,4.1e-05,3,0.2,0.8,1.8,9400,0.33892656342769095
0.005156,,,1,0.2,,,9500,0.4479175346756178
0.000914,,,1,0.6,,,9600,0.5996877871981842
0.002269,0.000332,,2,0.2,1.2,,9700,0.6405868241007762
0.001849,,,1,0.4,,,9800,0.5144780180948113
0.001372,,,1,0.4,,,9900,0.37585911250012805
0.002602,,,1,0.2,,,10000,0.3341584226014571
0.00078,,,1,0.2,,,10100,0.31455208385192995
0.003229,,,1,0.4,,,10200,0.455591564471669
0.004835,,,1,0.2,,,10300,0.5950666103431553
0.002275,,,1,0.2,,,10400,0.5792255196504705
0.001937,,,1,0.4,,,10500,0.4666005736717309
0.002316,0.000624,,2,0.2,0.8,,10600,0.4025618235420581
0.00142,,,1,0.4,,,10700,0.30570088273682566
0.0007,,,1,0.6,,,10800,0.3138490278493222
0.005178,,,1,0.2,,,10900,0.4494724849272398
0.001225,,,1,0.4,,,11000,0.5698006266622483
0.002957,,,1,0.2,,,11100,0.5491360419558305
0.00317,,,1,0.2,,,11200,0.501220052329537
0.001896,,,1,0.4,,,11300,0.35351326019556767
0.002426,,,1,0.4,,,11400,0.28434680151157693
0.003067,,,1,0.2,,,11500,0.36206795465929564
0.001856,0.000419,,2,0.2,1.0,,11600,0.4875957609280331
0.001065,,,1,0.4,,,11700,0.47777858952333296
0.00296,0.000278,,2,0.2,1.2,,11800,0.5358747619341416
0.002514,,,1,0.4,,,11900,0.5150128922563667
0.001176,0.000168,,2,0.2,1.2,,12000,0.3518046965501956
0.002764,,,1,0.2,,,12100,0.2622068690480694
0.001169,,,1,0.4,,,12200,0.38537199634800334
0.004438,,,1,0.2,,,12300,0.46395110532347983
0.002983,,,1,0.2,,,12400,0.48950704541576956
0.001915,,,1,0.4,,,12500,0.49210826933531604
0.002701,,,1,0.4,,,12600,0.43827816025881433
0.00084,,,1,0.6,,,12700,0.33940185108733406
0.00185,0.000254,,2,0.4,1.0,,12800,0.33166586555874955
0.00079,,,1,0.2,,,12900,0.31859211474779
0.002734,,,1,0.2,,,13000,0.4024034518996402
0.001809,,,1,0.4,,,13100,0.5223865466278629
0.006121,,,1,0.2,,,13200,0.49682828129521184
0.000937,,,1,0.4,,,13300,0.3574872394149548
0.001231,,,1,0.4,,,13400,0.33071008042637035
0.002612,,,1,0.2,,,13500,0.347122602047483
0.00173,,,1,0.2,,,13600,0.35490211519365633
0.001481,,,1,0.4,,,13700,0.4133706487669592
0.002774,,,1,0.2,,,13800,0.47155598418859124
0.001316,,,1,0.4,,,13900,0.4608021971163732
0.002183,,,1,0.4,,,14000,0.4174899615036364
0.002541,0.000161,,2,0.2,1.2,,14100,0.31648648948175223
0.00147,0.000188,,2,0.4,1.0,,14200,0.2647086057302643
0.00117,,,1,0.2,,,14300,0.3782823809262675
0.005104,,,1,0.2,,,14400,0.4811599193101584
0.000617,,,1,0.6,,,14500,0.4015043360146276
0.001848,,,1,0.4,,,14600,0.40375650736985885
0.001844,,,1,0.4,,,14700,0.4443124327843895
0.001673,0.000555,,2,0.2,0.8,,14800,0.3370268094993367
0.001154,,,1,0.4,,,14900,0.26343329776042557
0.001989,,,1,0.2,,,15000,0.34519447287466115
0.001589,,,1,0.4,,,15100,0.4357493441722973
0.001661,,,1,0.2,,,15200,0.43673724688084525
0.002572,0.000233,,2,0.2,1.2,,15300,0.3890102610956146
0.001008,,,1,0.4,,,15400,0.35532832109009166
0.001883,,,1,0.4,,,15500,0.3275211034722967
0.001857,,,1,0.2,,,15600,0.35016428623052936
0.000768,,,1,0.4,,,15700,0.34464703340114966
0.001333,9.5e-05,,2,0.2,1.4,,15800,0.36615649348250245
0.00213,,,1,0.2,,,15900,0.430485615122202
0.000974,,,1,0.4,,,16000,0.43720245538751046
0.001957,,,1,0.4,,,16100,0.3445032304029171
0.00066,0.000172,,2,0.4,1.2,,16200,0.2898422431718329
0.001896,,,1,0.4,,,16300,0.3340365894827944
0.002167,,,1,0.2,,,16400,0.39706542958513197
0.002831,,,1,0.2,,,16500,0.36625736844550805
0.001001,,,1,0.4,,,16600,0.35721647727070527
0.003371,,,1,0.2,,,16700,0.38769935561973834
0.001809,,,1,0.4,,,16800,0.3942621531908091
0.000758,,,1,0.2,,,16900,0.31278056094498075
0.000976,6.5e-05,,2,0.4,1.4,,17000,0.2833206136607559
0.001865,0.000583,,2,0.2,0.8,,17100,0.35418505563746583
0.00153,,,1,0.6,,,17200,0.43121953244043504
0.002508,,,1,0.2,,,17300,0.35519786229845085
0.000644,0.000487,,2,0.2,0.8,,17400,0.31599881862188073
0.002174,,,1,0.4,,,17500,0.3538694329796851
0.00246,,,1,0.2,,,17600,0.34453109061396026
0.001436,,,1,0.2,,,17700,0.29317255329330055
0.000727,,,1,0.4,,,17800,0.3296465326200986
0.002813,,,1,0.2,,,17900,0.3642876740220344
0.001452,,,1,0.4,,,18000,0.38515388251876626
0.000961,,,1,0.4,,,18100,0.3572988478320747
0.001427,,,1,0.4,,,18200,0.3044380946167384
0.000738,0.00051,,2,0.2,0.8,,18300,0.28527423791629514
0.002103,,,1,0.4,,,18400,0.3527428588663692
0.003803,,,1,0.2,,,18500,0.35707852120259875
0.0006,0.000294,,2,0.4,1.0,,18600,0.32285981497749944
0.001248,,,1,0.4,,,18700,0.337695327147538
0.003129,0.000706,,2,0.2,0.8,,18800,0.37635597934750553
0.001382,,,1,0.4,,,18900,0.33410565904324796
0.001541,0.000388,,2,0.2,0.8,,19000,0.2837688200269147
0.000803,,,1,0.6,,,19100,0.29612749090280055
0.001789,,,1,0.2,,,19200,0.36735171646817844
0.001713,,,1,0.2,,,19300,0.3752665506682323
0.001629,,,1,0.2,,,19400,0.31286085904629446
0.00057,,,1,0.4,,,19500,0.30511169351440715
0.001977,,,1,0.4,,,19600,0.34917619538265493
0.001539,,,1,0.2,,,19700,0.31647585718443366
0.000722,,,1,0.4,,,19800,0.2842010528409724
0.001482,,,1,0.2,,,19900,0.3272014365418499
0.00273,,,1,0.2,,,20000,0.3648777453052188
0.001932,,,1,0.4,,,20100,0.3436773229211073
0.001946,,,1,0.2,,,20200,0.3102752859023646
