step,twist_energy_total,discarded_total,Lz_total
2925,3.73247e+00,2.98623e-02,2.71051e-22
2950,3.69135e+00,2.95536e-02,4.50622e-22
2975,3.39231e+00,2.71877e-02,-5.11608e-22
3000,3.20832e+00,2.56833e-02,5.48877e-22
3025,2.76727e+00,2.22783e-02,-2.57498e-22
3050,1.57619e+00,1.28046e-02,-4.01494e-22
3075,7.08813e-01,5.74462e-03,2.98156e-22
3100,5.40871e-01,4.32562e-03,3.79471e-22
3125,5.39143e-01,4.32227e-03,1.01644e-21
3150,4.22054e-01,3.39942e-03,-1.75505e-21
3175,3.11266e-01,2.50153e-03,-1.86347e-21
3200,2.79606e-01,2.23388e-03,1.20617e-21
3225,4.00598e-01,3.16913e-03,-2.43945e-22
3250,6.77673e-01,5.37167e-03,2.67662e-22
3275,1.03813e+00,8.23975e-03,-9.80864e-22
3300,1.40858e+00,1.12226e-02,-1.07743e-21
3325,1.53619e+00,1.22921e-02,-3.32037e-22
3350,1.44285e+00,1.15537e-02,6.77626e-23
3375,1.89347e+00,1.49251e-02,-2.00577e-21
3400,5.25820e+00,4.11541e-02,-1.67713e-22
3425,1.34933e+01,1.06301e-01,-4.28599e-22
3450,2.34545e+01,1.86324e-01,3.87920e-21
3475,2.69631e+01,2.15902e-01,-1.54092e-20
3500,2.25428e+01,1.81197e-01,-5.79371e-22
3525,1.98033e+01,1.58321e-01,-4.87891e-21
3550,2.20844e+01,1.76335e-01,1.13164e-21
3575,2.06825e+01,1.66275e-01,-8.84302e-22
3600,1.31905e+01,1.06851e-01,-2.13791e-21
3625,6.32754e+00,5.13965e-02,-3.86925e-21
3650,3.38392e+00,2.73117e-02,1.07065e-21
3675,2.57213e+00,2.06356e-02,-2.58853e-21
3700,2.39004e+00,1.91335e-02,-1.40946e-21
3725,2.27711e+00,1.82464e-02,1.28749e-22
3750,2.03313e+00,1.63101e-02,-1.93124e-22
3775,1.77895e+00,1.42638e-02,-1.36881e-21
3800,1.69437e+00,1.35496e-02,2.71051e-21
3825,1.85848e+00,1.48233e-02,1.80249e-21
3850,2.21695e+00,1.76781e-02,-1.35525e-21
3875,2.30480e+00,1.84727e-02,1.66696e-21
3900,2.00395e+00,1.60611e-02,4.13352e-22
3925,2.09369e+00,1.67088e-02,2.16840e-22
3950,2.13758e+00,1.71443e-02,5.82759e-22
3975,1.61217e+00,1.30019e-02,9.28348e-22
4000,1.02258e+00,8.25536e-03,-3.90313e-21
4025,8.15826e-01,6.52014e-03,-1.70762e-21
4050,1.05162e+00,8.35936e-03,1.02999e-21
4075,1.39705e+00,1.11316e-02,-4.01155e-21
4100,1.56628e+00,1.25261e-02,7.95533e-21
4125,1.53249e+00,1.22784e-02,-2.93412e-21
4150,1.41243e+00,1.13222e-02,-6.30193e-21
4175,1.45993e+00,1.16394e-02,-5.82759e-21
4200,2.20298e+00,1.74175e-02,8.94467e-22
4225,4.38311e+00,3.45747e-02,-1.81604e-21
4250,8.28692e+00,6.55868e-02,-4.09964e-21
4275,1.24501e+01,9.90501e-02,-4.60617e-21
4300,1.45430e+01,1.16240e-01,-3.79471e-22
4325,1.40772e+01,1.12820e-01,5.27193e-21
4350,1.27648e+01,1.02300e-01,-2.39541e-21
4375,1.23162e+01,9.85262e-02,2.52416e-21
4400,1.25901e+01,1.00707e-01,2.92599e-20
4425,1.21102e+01,9.70755e-02,-7.73172e-21
4450,1.04917e+01,8.42624e-02,7.64363e-21
4475,8.23070e+00,6.62581e-02,-3.96411e-21
4500,5.46648e+00,4.42005e-02,-5.58364e-21
4525,3.13871e+00,2.53667e-02,-1.82078e-20
4550,2.78628e+00,2.22145e-02,-1.42573e-20
4575,3.51532e+00,2.80716e-02,-7.54876e-21
4600,3.24110e+00,2.60991e-02,1.08962e-20
4625,2.08606e+00,1.68920e-02,-2.71051e-21
4650,1.37421e+00,1.10494e-02,7.56231e-21
4675,1.72660e+00,1.37177e-02,8.32125e-21
4700,2.39981e+00,1.91625e-02,-4.55365e-21
4725,2.20798e+00,1.77871e-02,9.46983e-21
4750,1.37325e+00,1.11130e-02,3.33392e-21
4775,1.38256e+00,1.09608e-02,4.66207e-21
4800,2.64509e+00,2.09412e-02,-1.67713e-21
4825,3.95798e+00,3.15427e-02,-6.73561e-21
4850,4.20028e+00,3.36999e-02,-2.76472e-21
4875,3.28532e+00,2.64987e-02,3.17129e-21
4900,2.16729e+00,1.75124e-02,3.46945e-21
4925,1.57398e+00,1.26622e-02,-9.75782e-22
4950,1.60515e+00,1.28359e-02,-3.30682e-21
4975,2.05666e+00,1.64044e-02,-4.14707e-21
5000,2.68339e+00,2.14254e-02,-2.71051e-20
5025,3.19769e+00,2.55583e-02,-8.18573e-21
5050,4.14365e+00,3.29457e-02,1.48536e-20
